fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
158,13,2757,3133,2025-08-16,2025
158,13,3133,2757,2025-08-16,2025
159,13,3176,2812,2025-08-16,2025
159,13,2812,3176,2025-08-16,2025
160,13,2983,587,2025-08-16,2025
160,13,587,2983,2025-08-16,2025
161,13,1090,193,2025-08-16,2025
161,13,193,1090,2025-08-16,2025
162,13,3905,2865,2025-08-16,2025
162,13,2865,3905,2025-08-16,2025
163,13,2919,2554,2025-08-16,2025
163,13,2554,2919,2025-08-16,2025
164,13,1399,144,2025-08-16,2025
164,13,144,1399,2025-08-16,2025
165,13,1648,1718,2025-08-16,2025
165,13,1718,1648,2025-08-16,2025
166,13,2053,265,2025-08-16,2025
166,13,265,2053,2025-08-16,2025
167,13,3703,263,2025-08-16,2025
167,13,263,3703,2025-08-16,2025
168,13,2692,1768,2025-08-16,2025
168,13,1768,2692,2025-08-16,2025
169,14,1649,985,2025-08-09,2025
169,14,985,1649,2025-08-09,2025
170,14,1117,2953,2025-08-09,2025
170,14,2953,1117,2025-08-09,2025
171,14,2315,1673,2025-08-09,2025
171,14,1673,2315,2025-08-09,2025
172,14,1209,3379,2025-08-09,2025
172,14,3379,1209,2025-08-09,2025
173,14,2476,1867,2025-08-09,2025
173,14,1867,2476,2025-08-09,2025
174,14,1042,134,2025-08-09,2025
174,14,134,1042,2025-08-09,2025
175,14,4218,652,2025-08-09,2025
175,14,652,4218,2025-08-09,2025
176,14,3760,1983,2025-08-09,2025
176,14,1983,3760,2025-08-09,2025
177,14,1075,553,2025-08-09,2025
177,14,553,1075,2025-08-09,2025
178,14,2549,4101,2025-08-09,2025
178,14,4101,2549,2025-08-09,2025
179,14,1185,3866,2025-08-09,2025
179,14,3866,1185,2025-08-09,2025
180,14,2503,493,2025-08-09,2025
180,14,493,2503,2025-08-09,2025
181,15,3934,3013,2025-08-02,2025
181,15,3013,3934,2025-08-02,2025
182,15,1041,3257,2025-08-02,2025
182,15,3257,1041,2025-08-02,2025
183,15,3298,456,2025-08-02,2025
183,15,456,3298,2025-08-02,2025
184,15,3407,767,2025-08-02,2025
184,15,767,3407,2025-08-02,2025
185,15,2364,4413,2025-08-02,2025
185,15,4413,2364,2025-08-02,2025
186,15,4122,3708,2025-08-02,2025
186,15,3708,4122,2025-08-02,2025
187,15,2784,1227,2025-08-02,2025
187,15,1227,2784,2025-08-02,2025
188,15,4178,1443,2025-08-02,2025
188,15,1443,4178,2025-08-02,2025
189,15,3198,2048,2025-08-02,2025
189,15,2048,3198,2025-08-02,2025
190,15,292,4374,2025-08-02,2025
190,15,4374,292,2025-08-02,2025
191,15,1135,518,2025-08-02,2025
191,15,518,1135,2025-08-02,2025
192,15,3378,3809,2025-08-02,2025
192,15,3809,3378,2025-08-02,2025
193,16,909,4286,2025-07-26,2025
